City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
375,kingscliff,-28.2667,153.5667,12.75,100,17,1.54,AU,1694809131
376,inarajan village,13.2736,144.7484,28.0,95,12,6.44,GU,1694809132
377,chulakkurgan,43.765,69.1814,16.25,36,0,2.81,KZ,1694809132
378,chibougamau,49.9168,-74.3659,18.79,45,0,5.14,CA,1694809132
379,buinsk,54.95,48.2833,14.36,59,83,2.26,RU,1694808788
380,necochea,-38.5473,-58.7368,19.22,61,99,5.0,AR,1694808882
381,vylkove,45.4021,29.586,20.91,74,100,3.3,UA,1694809133
382,luwingu,-10.2621,29.9271,20.79,36,5,2.48,ZM,1694809133
383,horta,38.5333,-28.6333,20.8,70,20,8.23,PT,1694809133
384,batken,39.8333,71.0,14.0,46,57,0.35,KG,1694809133
385,qaqortoq,60.7167,-46.0333,7.61,95,100,4.29,GL,1694809134
386,labytnangi,66.6572,66.4183,12.27,78,90,4.01,RU,1694809134
387,karratha,-20.7377,116.8463,24.09,32,4,3.78,AU,1694809134
388,hola,51.5377,23.1902,11.1,53,0,3.01,PL,1694809134
389,portland,45.5234,-122.6762,33.04,33,0,2.57,US,1694809059
390,pisco,-13.7,-76.2167,21.03,68,20,2.57,PE,1694809135
391,murom,55.5656,42.0417,13.02,74,42,1.47,RU,1694808868
392,calusco d'adda,45.6914,9.4727,21.3,86,40,2.06,IT,1694809135
393,mafinga,-7.25,35.0667,22.55,44,16,2.71,TZ,1694809135
394,troitsko-pechorsk,62.7084,56.1964,10.78,81,50,2.16,RU,1694809136
395,port-vila,-17.7338,168.3219,21.78,94,20,0.51,VU,1694809136
396,fort bragg,35.139,-79.006,27.58,39,0,6.17,US,1694809136
397,san juan,-31.5375,-68.5364,31.58,7,0,4.09,AR,1694808972
398,mpulungu,-8.7623,31.1141,26.12,42,10,2.47,ZM,1694809136
399,tome acu,-2.4189,-48.1522,34.45,39,65,2.1,BR,1694809137
400,cody,44.5263,-109.0565,23.84,34,0,3.6,US,1694809137
401,kapuskasing,49.4169,-82.4331,23.05,49,75,6.17,CA,1694809137
402,bicske,47.4842,18.644,21.27,52,100,3.07,HU,1694809137
403,tyuratam,45.6507,63.3156,17.15,42,8,2.52,KZ,1694809138
404,yeppoon,-23.1333,150.7333,13.88,82,2,5.83,AU,1694809138
405,vedaraniyam,10.3667,79.85,27.44,86,95,10.57,IN,1694809138
406,veinticinco de mayo,-35.4323,-60.1727,27.21,23,99,8.05,AR,1694809138
407,santa luzia,-19.7697,-43.8514,27.6,50,20,3.09,BR,1694809139
408,woolgoolga,-30.1106,153.2007,14.93,74,0,3.27,AU,1694809139
409,greymouth,-42.4667,171.2,9.5,84,100,1.91,NZ,1694809139
410,maasim,5.8575,125.0061,26.38,83,40,0.37,PH,1694809139
411,okotoks,50.7289,-113.9828,26.28,26,45,0.89,CA,1694809140
